Camera_Sit,Season,GRIDCODE,FREQUENCY,SUM_Shape_Area,RADIUS,BufferArea,PERCENT COvER
W09,Winter,4,4,3564.231744,1000,3141592.654,0.11345302
W09,Winter,6,2,163933.3517,1000,3141592.654,5.218160651
W09,Winter,7,2,409740.6237,1000,3141592.654,13.04244913
W09,Winter,8,2,23400,1000,3141592.654,0.744845134
W10,Winter,1,2,1800,1000,3141592.654,0.05729578
W10,Winter,2,1,2816649.874,1000,3141592.654,89.65675007
W10,Winter,3,27,42159.84658,1000,3141592.654,1.341989597
W10,Winter,4,24,79200,1000,3141592.654,2.521014299
W10,Winter,5,3,8100,1000,3141592.654,0.257831008
W10,Winter,6,1,52200,1000,3141592.654,1.661577606
W10,Winter,7,5,69466.64166,1000,3141592.654,2.21119188
W10,Winter,8,1,14.38514187,1000,3141592.654,0.000457893
W10,Winter,9,5,36000,1000,3141592.654,1.14591559
W10,Winter,13,2,36000,1000,3141592.654,1.14591559
W11,Winter,1,49,805611.7207,1000,3141592.654,25.64341751
W11,Winter,2,29,1802450.406,1000,3141592.654,57.37377834
W11,Winter,3,40,103086.8227,1000,3141592.654,3.281355479
W11,Winter,4,1,1800,1000,3141592.654,0.05729578
W11,Winter,7,5,427041.7082,1000,3141592.654,13.59315975
W11,Winter,8,1,1599.058921,1000,3141592.654,0.050899626
W12,Winter,1,19,1211598.827,1000,3141592.654,38.56638848
W12,Winter,2,78,1373804.33,1000,3141592.654,43.72955
W12,Winter,3,52,82914.00888,1000,3141592.654,2.639234873
W12,Winter,4,1,900,1000,3141592.654,0.02864789
W12,Winter,7,4,407447.7193,1000,3141592.654,12.96946372
W12,Winter,13,2,64924.46692,1000,3141592.654,2.066609968
W13,Winter,1,4,4500,1000,3141592.654,0.143239449
W13,Winter,2,15,642360.0264,1000,3141592.654,20.44695469
W13,Winter,3,61,108345.1573,1000,3141592.654,3.44873347
W13,Winter,4,2,3600,1000,3141592.654,0.114591559
W13,Winter,7,9,17521.71212,1000,3141592.654,0.557733419
W13,Winter,12,1,2335563.418,1000,3141592.654,74.34329258
W14,Winter,1,46,969217.7091,1000,3141592.654,30.85115787
W14,Winter,2,50,1600585.664,1000,3141592.654,50.94822406
W14,Winter,3,33,135668.2441,1000,3141592.654,4.318454333
W14,Winter,4,3,3600,1000,3141592.654,0.114591559
W14,Winter,5,1,900,1000,3141592.654,0.02864789
W14,Winter,7,3,254188.4002,1000,3141592.654,8.091068074
W14,Winter,9,2,34200,1000,3141592.654,1.088619811
W14,Winter,13,1,143228.9654,1000,3141592.654,4.559119567
W15,Winter,1,40,1392202.201,1000,3141592.654,44.31517242
W15,Winter,2,77,1345511.968,1000,3141592.654,42.82897614
W15,Winter,3,37,90829.37201,1000,3141592.654,2.891188707
W15,Winter,4,10,22550.42168,1000,3141592.654,0.717802216
W15,Winter,5,1,277.0848796,1000,3141592.654,0.008819886
W15,Winter,7,6,253134.9043,1000,3141592.654,8.057534257
W15,Winter,9,1,9900,1000,3141592.654,0.315126787
W16,Winter,1,60,408247.2439,1000,3141592.654,12.99491337
W16,Winter,2,24,2345231.278,1000,3141592.654,74.65103011
W16,Winter,3,27,136200.4421,1000,3141592.654,4.335394722
W16,Winter,4,9,9189.349193,1000,3141592.654,0.29250607
W16,Winter,5,4,4500,1000,3141592.654,0.143239449
W16,Winter,8,5,118009.4414,1000,3141592.654,3.756357187
W16,Winter,9,1,23415.9658,1000,3141592.654,0.745353341
W16,Winter,12,2,80596.07381,1000,3141592.654,2.565452708
W16,Winter,13,1,16200,1000,3141592.654,0.515662016
W17,Winter,1,53,247538.4874,1000,3141592.654,7.879394774
W17,Winter,2,7,2508414.493,1000,3141592.654,79.84531317
W17,Winter,3,70,273629.9975,1000,3141592.654,8.709913336
W17,Winter,4,11,13551.22029,1000,3141592.654,0.431348739
W17,Winter,5,2,2700,1000,3141592.654,0.085943669
W17,Winter,8,5,95754.76455,1000,3141592.654,3.04796882
W18,Winter,1,52,268914.8767,1000,3141592.654,8.559826378
W18,Winter,2,11,2185274.137,1000,3141592.654,69.5594362
W18,Winter,3,46,128940.6993,1000,3141592.654,4.104309931
W18,Winter,4,13,24808.85704,1000,3141592.654,0.789690446
W18,Winter,5,3,6300,1000,3141592.654,0.200535228
W18,Winter,8,4,188649.8902,1000,3141592.654,6.004912509
W18,Winter,9,1,15211.62219,1000,3141592.654,0.484200973
W18,Winter,12,2,114634.4451,1000,3141592.654,3.648927719
W18,Winter,13,2,208854.0959,1000,3141592.654,6.64803235
W19,Winter,1,29,407676.1978,1000,3141592.654,12.97673641
W19,Winter,2,27,1455523.574,1000,3141592.654,46.33075431
W19,Winter,3,82,167450.2438,1000,3141592.654,5.330106806
W19,Winter,4,7,8100,1000,3141592.654,0.257831008
W19,Winter,5,1,900,1000,3141592.654,0.02864789
W19,Winter,7,4,998212.8049,1000,3141592.654,31.77410043
W19,Winter,13,3,103726.482,1000,3141592.654,3.301716468
W20,Winter,1,42,765022.5089,1000,3141592.654,24.35142277
W20,Winter,2,71,1145322.781,1000,3141592.654,36.45675641
W20,Winter,3,114,306220.5593,1000,3141592.654,9.747303137
W20,Winter,4,4,10239.18381,1000,3141592.654,0.325923343
W20,Winter,7,9,914782.5347,1000,3141592.654,29.11843245
W21,Winter,1,24,106157.9985,1000,3141592.654,3.379114042
W21,Winter,2,22,1334615.68,1000,3141592.654,42.48213652
W21,Winter,3,43,731917.9266,1000,3141592.654,23.29767119
W21,Winter,4,41,150404.6428,1000,3141592.654,4.787528472
W21,Winter,5,5,2154.133941,1000,3141592.654,0.068568213
W21,Winter,8,8,109856.5949,1000,3141592.654,3.496844021
W21,Winter,9,4,549569.4387,1000,3141592.654,17.49333855
W21,Winter,12,5,156913.5953,1000,3141592.654,4.994714865
W22,Winter,1,27,423207.4694,1000,3141592.654,13.47111214
W22,Winter,2,43,924959.7461,1000,3141592.654,29.44238315
W22,Winter,3,45,102061.798,1000,3141592.654,3.248727931
W22,Winter,4,48,172222.0777,1000,3141592.654,5.481998995
W22,Winter,5,25,92048.09852,1000,3141592.654,2.929981976
W22,Winter,7,6,739199.1664,1000,3141592.654,23.52944025
W22,Winter,8,1,27000,1000,3141592.654,0.859436693
W22,Winter,9,5,215809.0902,1000,3141592.654,6.869416695
W22,Winter,13,1,445082.5859,1000,3141592.654,14.16741873
W23,Winter,1,23,66765.33366,1000,3141592.654,2.125206576
W23,Winter,2,27,1006202.252,1000,3141592.654,32.02841242
W23,Winter,3,114,237866.6915,1000,3141592.654,7.571531951
W23,Winter,4,4,18936.19375,1000,3141592.654,0.602757768
W23,Winter,5,1,2700,1000,3141592.654,0.085943669
W23,Winter,7,2,1720780.55,1000,3141592.654,54.77414612
W23,Winter,13,2,88338.32509,1000,3141592.654,2.81189622
W24,Winter,1,25,552112.4391,1000,3141592.654,17.57428477
W24,Winter,2,24,2091306.644,1000,3141592.654,66.56835797
W24,Winter,3,60,158060.752,1000,3141592.654,5.031229998
W24,Winter,4,7,35141.93361,1000,3141592.654,1.118602489
W24,Winter,7,6,245816.1404,1000,3141592.654,7.824570768
W24,Winter,9,1,34724.91087,1000,3141592.654,1.105328243
W24,Winter,12,1,24427.17669,1000,3141592.654,0.777541183
W25,Winter,1,58,1399592.186,1000,3141592.654,44.55040295
W25,Winter,2,74,1282311.475,1000,3141592.654,40.81724196
W25,Winter,3,27,46009.78883,1000,3141592.654,1.464537065
W25,Winter,4,25,79634.42959,1000,3141592.654,2.534842622
W25,Winter,5,10,45410.5025,1000,3141592.654,1.445461188
W25,Winter,7,2,36552.91861,1000,3141592.654,1.163515536
W25,Winter,8,2,56700,1000,3141592.654,1.804817055
W25,Winter,9,4,195378.3539,1000,3141592.654,6.219086159
W26,Winter,1,14,37833.19889,1000,3141592.654,1.204268123
W26,Winter,2,24,943546.299,1000,3141592.654,30.03401151
W26,Winter,3,57,252173.1637,1000,3141592.654,8.026921102
W26,Winter,4,59,174472.4312,1000,3141592.654,5.553629972
W26,Winter,5,17,41522.70064,1000,3141592.654,1.321708612
W26,Winter,7,5,222538.7121,1000,3141592.654,7.083627211
W26,Winter,8,3,42599.88723,1000,3141592.654,1.355996526
W26,Winter,9,6,193441.9878,1000,3141592.654,6.157449711
W26,Winter,12,1,1233461.083,1000,3141592.654,39.2622857
W27,Winter,1,71,324307.546,1000,3141592.654,10.32302981
W27,Winter,2,16,1715830.131,1000,3141592.654,54.61656938
W27,Winter,3,91,168929.3097,1000,3141592.654,5.377186935
W27,Winter,4,4,5185.461666,1000,3141592.654,0.165058371
W27,Winter,7,6,836643.9555,1000,3141592.654,26.63120423
W27,Winter,13,3,90693.64703,1000,3141592.654,2.886868446
W28,Winter,1,52,1297689.778,1000,3141592.654,41.30674857
W28,Winter,2,75,1122773.264,1000,3141592.654,35.738983
W28,Winter,3,39,75961.0464,1000,3141592.654,2.417915203
W28,Winter,4,45,159746.4597,1000,3141592.654,5.084887742
W28,Winter,5,12,46297.89506,1000,3141592.654,1.473707771
W28,Winter,6,5,208943.238,1000,3141592.654,6.650869831
W28,Winter,7,7,117145.8659,1000,3141592.654,3.728868724
W28,Winter,8,4,43244.36123,1000,3141592.654,1.37651077
W28,Winter,9,2,53372.53494,1000,3141592.654,1.698900552
W28,Winter,12,2,16415.4884,1000,3141592.654,0.522521224
W29,Winter,1,34,1467603.906,1000,3141592.654,46.71528322
W29,Winter,2,68,927494.4138,1000,3141592.654,29.52306413
W29,Winter,3,51,160435.9541,1000,3141592.654,5.106835028
W29,Winter,4,13,62254.06139,1000,3141592.654,1.98160832
W29,Winter,5,2,1800,1000,3141592.654,0.05729578
W29,Winter,6,4,257843.2548,1000,3141592.654,8.207405708
W29,Winter,7,4,109973.5116,1000,3141592.654,3.500565595
W29,Winter,8,3,81637.946,1000,3141592.654,2.59861653
W29,Winter,9,2,35646.92756,1000,3141592.654,1.134676945
W29,Winter,13,3,36900,1000,3141592.654,1.17456348
W30,Winter,1,18,1811395.6,1000,3141592.654,57.65851274
W30,Winter,2,64,366470.7655,1000,3141592.654,11.66512676
W30,Winter,3,62,86772.05763,1000,3141592.654,2.762040379
W30,Winter,4,57,162971.0051,1000,3141592.654,5.187528207
W30,Winter,5,10,12600,1000,3141592.654,0.401070457
W30,Winter,6,8,311245.6728,1000,3141592.654,9.907257467
W30,Winter,7,5,97996.07133,1000,3141592.654,3.119311831
W30,Winter,8,1,35100,1000,3141592.654,1.117267701
W30,Winter,9,3,52200,1000,3141592.654,1.661577606
W30,Winter,12,3,60735.03325,1000,3141592.654,1.933256152
W30,Winter,13,1,144103.7493,1000,3141592.654,4.586964803
W31,Winter,1,2,1212.512766,1000,3141592.654,0.03859548
W31,Winter,2,3,2675642.978,1000,3141592.654,85.16836118
W31,Winter,3,28,47255.74736,1000,3141592.654,1.504197156
W31,Winter,4,34,69415.36323,1000,3141592.654,2.209559637
W31,Winter,5,3,2700,1000,3141592.654,0.085943669
W31,Winter,6,2,55066.9296,1000,3141592.654,1.752834809
W31,Winter,7,2,91800,1000,3141592.654,2.922084755
W31,Winter,8,1,8100,1000,3141592.654,0.257831008
W31,Winter,12,2,16200,1000,3141592.654,0.515662016
W31,Winter,13,2,174194.0584,1000,3141592.654,5.54476909
W32,Winter,1,107,387735.4065,1000,3141592.654,12.34200131
W32,Winter,2,79,1237923.593,1000,3141592.654,39.4043318
W32,Winter,3,51,80912.29419,1000,3141592.654,2.575518315
W32,Winter,4,107,790584.1946,1000,3141592.654,25.1650765
W32,Winter,5,30,71366.25921,1000,3141592.654,2.271658585
W32,Winter,7,5,187884.8005,1000,3141592.654,5.980558945
W32,Winter,8,2,263771.7669,1000,3141592.654,8.396116111
W32,Winter,9,3,26982.29617,1000,3141592.654,0.858873162
W32,Winter,13,2,94428.67897,1000,3141592.654,3.005758205
W33,Winter,1,43,1299443.32,1000,3141592.654,41.36256554
W33,Winter,2,95,553902.0538,1000,3141592.654,17.63124997
W33,Winter,3,71,95089.20916,1000,3141592.654,3.026783534
W33,Winter,4,96,674224.4291,1000,3141592.654,21.46123013
W33,Winter,5,27,77578.57621,1000,3141592.654,2.469402776
W33,Winter,6,1,631.7049496,1000,3141592.654,0.020107793
W33,Winter,7,8,227869.4969,1000,3141592.654,7.253311362
W33,Winter,8,2,13996.20234,1000,3141592.654,0.445512957
W33,Winter,9,1,22811.47522,1000,3141592.654,0.726111808
W33,Winter,13,2,176043.2697,1000,3141592.654,5.603631315
W34,Winter,1,49,906711.403,1000,3141592.654,28.86152035
W34,Winter,2,95,866893.0575,1000,3141592.654,27.59406305
W34,Winter,3,93,196739.9741,1000,3141592.654,6.262427877
W34,Winter,4,89,148151.4875,1000,3141592.654,4.715808311
W34,Winter,5,46,62545.53208,1000,3141592.654,1.99088612
W34,Winter,7,5,849199.8514,1000,3141592.654,27.03087081
W34,Winter,8,1,43200,1000,3141592.654,1.375098708
W34,Winter,9,6,68148.44272,1000,3141592.654,2.169232305
W35,Winter,1,33,509421.0687,1000,3141592.654,16.21537624
W35,Winter,2,35,1484447.15,1000,3141592.654,47.25142032
W35,Winter,3,80,250363.7078,1000,3141592.654,7.969324334
W35,Winter,4,47,85784.16133,1000,3141592.654,2.730594663
W35,Winter,5,12,64791.56005,1000,3141592.654,2.06237941
W35,Winter,6,1,42987.29962,1000,3141592.654,1.368328245
W35,Winter,7,8,436287.8519,1000,3141592.654,13.88747365
W35,Winter,8,1,29443.76702,1000,3141592.654,0.937224213
W35,Winter,9,4,98391.74677,1000,3141592.654,3.131906571
W35,Winter,12,2,139671.5236,1000,3141592.654,4.445882676
W36,Winter,1,40,822857.1927,1000,3141592.654,26.19235793
W36,Winter,2,51,1321739.065,1000,3141592.654,42.07226113
W36,Winter,3,67,123378.7228,1000,3141592.654,3.927266721
W36,Winter,4,32,97902.77989,1000,3141592.654,3.116342272
W36,Winter,5,7,55915.0714,1000,3141592.654,1.779832001
W36,Winter,6,3,208361.9375,1000,3141592.654,6.632366462
W36,Winter,7,11,392637.0158,1000,3141592.654,12.49802438
W36,Winter,8,4,73154.43171,1000,3141592.654,2.328577883
W36,Winter,9,12,34049.356,1000,3141592.654,1.083824663
W36,Winter,13,2,11592.09482,1000,3141592.654,0.368987838
W37,Winter,1,32,497961.4097,1000,3141592.654,15.85060397
W37,Winter,2,44,357511.1906,1000,3141592.654,11.37993464
W37,Winter,3,19,101525.8446,1000,3141592.654,3.231668003
W37,Winter,4,61,509619.6883,1000,3141592.654,16.2216985
W37,Winter,5,11,46800,1000,3141592.654,1.489690267
W37,Winter,8,5,912294.6189,1000,3141592.654,29.03923963
W37,Winter,9,6,227798.2344,1000,3141592.654,7.251043007
W37,Winter,12,4,328903.3562,1000,3141592.654,10.46931899
W37,Winter,16,1,159175.6053,1000,3141592.654,5.066716881
W38,Winter,1,40,125811.6394,1000,3141592.654,4.004708862
W38,Winter,2,13,2113744.182,1000,3141592.654,67.28256699
W38,Winter,3,36,73748.28148,1000,3141592.654,2.347480708
W38,Winter,4,89,373047.0941,1000,3141592.654,11.87445781
W38,Winter,5,2,2700,1000,3141592.654,0.085943669
W38,Winter,8,4,452538.8173,1000,3141592.654,14.40475794
W39,Winter,1,34,372443.3287,1000,3141592.654,11.85523936
W39,Winter,2,70,290996.3297,1000,3141592.654,9.262700859
W39,Winter,3,39,142477.5229,1000,3141592.654,4.535200411
W39,Winter,4,26,541399.4642,1000,3141592.654,17.23328018
W39,Winter,5,13,28603.45689,1000,3141592.654,0.910476311
W39,Winter,8,7,416180.3617,1000,3141592.654,13.24743236
W39,Winter,9,7,866991.8474,1000,3141592.654,27.59720763
W39,Winter,12,6,482497.3559,1000,3141592.654,15.35836784
W40,Winter,1,37,1702130.13,1000,3141592.654,54.18048479
W40,Winter,2,66,932508.6268,1000,3141592.654,29.68267149
W40,Winter,3,15,33992.11458,1000,3141592.654,1.082002612
W40,Winter,4,47,172407.9812,1000,3141592.654,5.487916486
W40,Winter,5,7,56035.41703,1000,3141592.654,1.783662722
W40,Winter,8,5,72216.31542,1000,3141592.654,2.298716714
W40,Winter,9,1,9900,1000,3141592.654,0.315126787
W40,Winter,12,3,61132.23817,1000,3141592.654,1.945899578
W40,Winter,16,1,101266.9645,1000,3141592.654,3.223427593
W41,Winter,1,32,657824.5292,1000,3141592.654,20.9392051
W41,Winter,2,29,1466586.962,1000,3141592.654,46.68291288
W41,Winter,3,49,78746.96269,1000,3141592.654,2.506593673
W41,Winter,4,23,38830.73944,1000,3141592.654,1.236020825
W41,Winter,5,4,3652.01088,1000,3141592.654,0.116247117
W41,Winter,8,4,778132.1649,1000,3141592.654,24.76871608
W41,Winter,9,2,70569.84126,1000,3141592.654,2.246307814
W41,Winter,12,1,545.8653212,1000,3141592.654,0.017375433
W41,Winter,16,1,46700.53347,1000,3141592.654,1.48652415
W42,Winter,1,32,1035232.937,1000,3141592.654,32.95248783
W42,Winter,2,37,529024.1612,1000,3141592.654,16.83936205
W42,Winter,3,34,56303.41117,1000,3141592.654,1.79219324
W42,Winter,4,57,335344.2228,1000,3141592.654,10.67433814
W42,Winter,5,2,1800,1000,3141592.654,0.05729578
W42,Winter,8,10,878940.6201,1000,3141592.654,27.97754887
W42,Winter,9,3,304944.5801,1000,3141592.654,9.706687459
W43,Winter,1,48,1121798.115,1000,3141592.654,35.70794303
W43,Winter,2,47,1472386.796,1000,3141592.654,46.86752735
W43,Winter,3,17,27655.78818,1000,3141592.654,0.880311079
W43,Winter,4,37,175533.1811,1000,3141592.654,5.587394689
W43,Winter,5,4,14693.57529,1000,3141592.654,0.467711028
W43,Winter,8,7,165976.0324,1000,3141592.654,5.283181197
W43,Winter,9,4,118962.6211,1000,3141592.654,3.786697838
W43,Winter,12,3,44583.92674,1000,3141592.654,1.419150465
W44,Winter,1,78,946321.2259,1000,3141592.654,30.12234017
W44,Winter,2,58,1141810.298,1000,3141592.654,36.3449506
W44,Winter,3,57,132899.1233,1000,3141592.654,4.23031048
W44,Winter,4,62,218578.574,1000,3141592.654,6.9575721
W44,Winter,5,2,1800,1000,3141592.654,0.05729578
W44,Winter,8,10,336005.4029,1000,3141592.654,10.69538416
W44,Winter,9,7,146667.0837,1000,3141592.654,4.668558273
W44,Winter,12,5,137408.1543,1000,3141592.654,4.373837395
W44,Winter,16,1,80100,1000,3141592.654,2.549662188
W45,Winter,1,30,940914.2738,1000,3141592.654,29.95023154
W45,Winter,2,41,988344.8107,1000,3141592.654,31.45999242
W45,Winter,3,37,97621.64713,1000,3141592.654,3.107393539
W45,Winter,4,23,185523.2681,1000,3141592.654,5.905389035
W45,Winter,5,2,1800,1000,3141592.654,0.05729578
W45,Winter,8,3,109870.3869,1000,3141592.654,3.497283034
W45,Winter,9,3,126770.2623,1000,3141592.654,4.035222777
W45,Winter,12,3,447149.344,1000,3141592.654,14.23320568
W45,Winter,16,2,243595.1178,1000,3141592.654,7.753873424
W46,Winter,1,33,878812.0205,1000,3141592.654,27.97345542
W46,Winter,2,38,1109258.858,1000,3141592.654,35.30880609
W46,Winter,3,61,102706.5819,1000,3141592.654,3.269252038
W46,Winter,4,32,79943.18676,1000,3141592.654,2.544670668
W46,Winter,5,5,11431.96455,1000,3141592.654,0.363890734
W46,Winter,8,11,221039.872,1000,3141592.654,7.03591765
W46,Winter,9,5,38535.72644,1000,3141592.654,1.22663027
W46,Winter,12,7,652161.7452,1000,3141592.654,20.75895309
W46,Winter,16,3,47700,1000,3141592.654,1.518338157
W47,Winter,1,37,1028412.966,1000,3141592.654,32.73540143
W47,Winter,2,37,1330967.927,1000,3141592.654,42.36602494
W47,Winter,3,44,73999.71605,1000,3141592.654,2.355484119
W47,Winter,4,49,138110.5124,1000,3141592.654,4.396194149
W47,Winter,5,5,5400,1000,3141592.654,0.171887339
W47,Winter,8,8,142557.763,1000,3141592.654,4.537754531
W47,Winter,9,4,49318.1061,1000,3141592.654,1.569844074
W47,Winter,12,6,283479.9694,1000,3141592.654,9.023447679
W47,Winter,16,2,89342.77027,1000,3141592.654,2.843868703
W48,Winter,1,53,820554.1033,1000,3141592.654,26.11904832
W48,Winter,2,32,1660620.621,1000,3141592.654,52.8591961
W48,Winter,3,52,80732.07206,1000,3141592.654,2.569781667
W48,Winter,4,39,136795.5608,1000,3141592.654,4.354337939
W48,Winter,8,7,382974.2834,1000,3141592.654,12.19045005
W48,Winter,9,2,59913.32495,1000,3141592.654,1.907100364
W49,Winter,1,41,1480367.136,1000,3141592.654,47.12154946
W49,Winter,2,22,1512922.519,1000,3141592.654,48.1578195
W49,Winter,3,16,32100.5741,1000,3141592.654,1.021793009
W49,Winter,4,5,9900,1000,3141592.654,0.315126787
W49,Winter,8,3,21220.06683,1000,3141592.654,0.675455706
W49,Winter,9,2,27895.29858,1000,3141592.654,0.887934932
W49,Winter,12,2,57184.26221,1000,3141592.654,1.8202316
W50,Winter,1,51,1184821.133,1000,3141592.654,37.71402799
W50,Winter,2,30,1265280.544,1000,3141592.654,40.2751306
W50,Winter,3,41,85956.15948,1000,3141592.654,2.736069534
W50,Winter,4,38,87613.2685,1000,3141592.654,2.788816952
W50,Winter,8,6,438529.1879,1000,3141592.654,13.95881759
W50,Winter,12,1,189.3913449,1000,3141592.654,0.006028514
W50,Winter,16,1,79200,1000,3141592.654,2.521014299
W51,Winter,1,62,502219.8656,1000,3141592.654,15.98615483
W51,Winter,2,18,1967549.901,1000,3141592.654,62.62905851
W51,Winter,3,53,185015.83,1000,3141592.654,5.889236779
W51,Winter,4,22,67571.27647,1000,3141592.654,2.150860532
W51,Winter,8,4,293443.9675,1000,3141592.654,9.34061159
W51,Winter,9,2,125788.8478,1000,3141592.654,4.003983384
W52,Winter,1,18,38564.80779,1000,3141592.654,1.227555958
W52,Winter,2,16,442544.2662,1000,3141592.654,14.0866215
W52,Winter,3,45,155967.4234,1000,3141592.654,4.96459728
W52,Winter,4,10,27612.30707,1000,3141592.654,0.878927032
W52,Winter,8,5,206898.0341,1000,3141592.654,6.585768969
W52,Winter,9,9,220182.5834,1000,3141592.654,7.008629306
W52,Winter,12,7,1898025.983,1000,3141592.654,60.41604345
W52,Winter,16,2,151794.0651,1000,3141592.654,4.83175516
W53,Winter,1,36,389048.6127,1000,3141592.654,12.38380196
W53,Winter,2,24,1100726.259,1000,3141592.654,35.03720503
W53,Winter,3,74,212365.3601,1000,3141592.654,6.75979936
W53,Winter,4,23,49627.1371,1000,3141592.654,1.579680836
W53,Winter,8,8,887926.1923,1000,3141592.654,28.26356852
W53,Winter,9,7,289767.1266,1000,3141592.654,9.22357411
W53,Winter,12,1,212128.9331,1000,3141592.654,6.752273656
W54,Winter,1,34,362060.8987,1000,3141592.654,11.52475634
W54,Winter,2,20,1481160.31,1000,3141592.654,47.14679697
W54,Winter,3,47,321761.7115,1000,3141592.654,10.24199338
W54,Winter,4,27,63876.34871,1000,3141592.654,2.033247329
W54,Winter,5,1,900,1000,3141592.654,0.02864789
W54,Winter,8,6,569024.5642,1000,3141592.654,18.11261443
W54,Winter,9,5,106296.8222,1000,3141592.654,3.383532937
W54,Winter,12,2,193300.5903,1000,3141592.654,6.152948891
W54,Winter,16,1,43208.8914,1000,3141592.654,1.37538173
W55,Winter,1,48,605110.1692,1000,3141592.654,19.26125491
W55,Winter,2,53,1317951.999,1000,3141592.654,41.95171509
W55,Winter,3,59,224370.8437,1000,3141592.654,7.141945771
W55,Winter,4,4,13500,1000,3141592.654,0.429718346
W55,Winter,7,4,980656.231,1000,3141592.654,31.21525733
W56,Winter,1,28,1617390.611,1000,3141592.654,51.48314213
W56,Winter,2,41,1052076.36,1000,3141592.654,33.48863063
